time,enrolled,available,waitlisted,total
2023-01-05T11:38:25,0,19998,0,19998
2023-01-05T11:48:07,0,19998,0,19998
2023-01-05T11:57:37,0,19998,0,19998
2023-01-05T12:07:06,0,19998,0,19998
2023-01-05T12:16:37,0,19998,0,19998
2023-01-05T12:26:08,0,19998,0,19998
2023-01-05T12:35:37,0,19998,0,19998
2023-01-05T12:45:07,0,19998,0,19998
2023-01-05T12:54:37,0,19998,0,19998
2023-01-05T13:04:07,0,19998,0,19998
2023-01-05T13:13:40,0,19998,0,19998
2023-01-05T13:23:23,0,19998,0,19998
2023-01-05T13:33:00,0,19998,0,19998
2023-01-05T13:42:31,0,19998,0,19998
2023-01-05T13:52:03,0,19998,0,19998
2023-01-05T14:01:36,0,19998,0,19998
2023-01-05T14:11:05,0,19998,0,19998
2023-01-05T14:20:36,0,19998,0,19998
2023-01-05T14:30:06,0,19998,0,19998
2023-01-05T14:39:47,0,19998,0,19998
2023-01-05T14:49:16,0,19998,0,19998
2023-01-05T14:58:47,0,19998,0,19998
2023-01-05T15:08:18,0,19998,0,19998
2023-01-05T15:17:49,0,19998,0,19998
2023-01-05T15:27:19,0,19998,0,19998
2023-01-05T15:36:50,0,19998,0,19998
2023-01-05T15:46:19,0,19998,0,19998
2023-01-05T15:56:02,0,19998,0,19998
2023-01-05T16:05:32,0,19998,0,19998
2023-01-05T16:15:03,0,19998,0,19998
2023-01-05T16:24:33,0,19998,0,19998
2023-01-05T16:34:03,0,19998,0,19998
2023-01-05T16:43:32,0,19998,0,19998
2023-01-05T16:53:01,0,19998,0,19998
2023-01-05T17:02:33,0,19998,0,19998
2023-01-05T17:12:03,0,19998,0,19998
2023-01-05T17:21:33,0,19998,0,19998
2023-01-05T17:31:11,0,19998,0,19998
2023-01-05T17:40:40,0,19998,0,19998
2023-01-05T17:50:09,0,19998,0,19998
2023-01-05T17:59:37,0,19998,0,19998
2023-01-05T18:09:06,0,19998,0,19998
2023-01-05T18:18:35,0,19998,0,19998
2023-01-05T18:28:03,0,19998,0,19998
2023-01-05T18:37:31,0,19998,0,19998
2023-01-05T18:46:59,0,19998,0,19998
2023-01-05T18:56:37,0,19998,0,19998
2023-01-05T19:06:06,0,19998,0,19998
2023-01-05T19:15:35,0,19998,0,19998
2023-01-05T19:25:04,0,19998,0,19998
2023-01-05T19:34:33,0,19998,0,19998
2023-01-05T19:44:00,0,19998,0,19998
2023-01-05T19:53:27,0,19998,0,19998
2023-01-05T20:02:55,0,19998,0,19998
2023-01-05T20:12:22,0,19998,0,19998
2023-01-05T20:21:49,0,19998,0,19998
2023-01-05T20:31:16,0,19998,0,19998
2023-01-05T20:40:53,0,19998,0,19998
2023-01-05T20:50:19,0,19998,0,19998
2023-01-05T20:59:47,0,19998,0,19998
2023-01-05T21:09:14,0,19998,0,19998
2023-01-05T21:18:41,0,19998,0,19998
2023-01-05T21:28:08,0,19998,0,19998
2023-01-05T21:37:35,0,19998,0,19998
2023-01-05T21:47:02,0,19998,0,19998
2023-01-05T21:56:29,0,19998,0,19998
2023-01-05T22:05:55,0,19998,0,19998
2023-01-05T22:15:23,0,19998,0,19998
2023-01-05T22:24:50,0,19998,0,19998
2023-01-05T22:34:27,0,19998,0,19998
2023-01-05T22:43:54,0,19998,0,19998
2023-01-05T22:53:20,0,19998,0,19998
2023-01-05T23:02:47,0,19998,0,19998
2023-01-05T23:12:15,0,19998,0,19998
2023-01-05T23:21:42,0,19998,0,19998
2023-01-05T23:31:10,0,19998,0,19998
2023-01-05T23:40:37,0,19998,0,19998
2023-01-05T23:50:04,0,19998,0,19998
2023-01-05T23:59:32,0,19998,0,19998
2023-01-06T00:09:00,0,19998,0,19998
2023-01-06T00:18:31,0,19998,0,19998
2023-01-06T00:28:00,0,19998,0,19998
2023-01-06T00:37:31,0,19998,0,19998
2023-01-06T00:47:01,0,19998,0,19998
2023-01-06T00:56:32,0,19998,0,19998
2023-01-06T01:06:03,0,19998,0,19998
2023-01-06T01:15:43,0,19998,0,19998
2023-01-06T01:25:14,0,19998,0,19998
2023-01-06T01:34:48,0,19998,0,19998
2023-01-06T01:44:17,0,19998,0,19998
2023-01-06T01:53:46,0,19998,0,19998
2023-01-06T02:03:15,0,19998,0,19998
2023-01-06T02:12:44,0,19998,0,19998
2023-01-06T02:22:13,0,19998,0,19998
2023-01-06T02:31:44,0,19998,0,19998
2023-01-06T02:41:13,0,19998,0,19998
2023-01-06T02:50:43,0,19998,0,19998
2023-01-06T03:00:13,0,19998,0,19998
2023-01-06T03:09:44,0,19998,0,19998
2023-01-06T03:19:15,0,19998,0,19998
2023-01-06T03:28:46,0,19998,0,19998
2023-01-06T03:38:16,0,19998,0,19998
